Brand,Model and Version,Seller name,City,Price,Mileage,Year,Gearbox,Fuel,Date,Fiscal Power,Doors,Body,First Hand,Ad Link
HONDA,Legend,AUTO 212,Casablanca,63 000 Dhs,349 000,2008,Automatique,Essence,13-12-2022,20,5,,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/403031/honda-legend-.html
LAND-ROVER,Range rover vogue,BOURGOGNE AUTO,Casablanca,,149 000,2014,Automatique,Diesel,13-12-2022,14,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/393778/land-rover-range-rover-vogue-v8.html
LAND-ROVER,Range rover evoque,ETOILE CAR,Casablanca,,19 000,2021,Automatique,Diesel,13-12-2022,8,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408424/land-rover-range-rover-evoque-.html
MERCEDES,Classe g,ETOILE CAR,Casablanca,2 650 000 Dhs,9 000,2021,Automatique,Essence,13-12-2022,31,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408426/mercedes-classe-g-.html
JEEP,Grand cherokee,AUTO 212,Casablanca,,159 000,2017,Automatique,Diesel,13-12-2022,12,5,,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/399093/jeep-grand-cherokee-.html
VOLVO,Xc40,AUTO CHAG,Casablanca,380 000 Dhs,19 000,2020,Automatique,Essence,13-12-2022,8,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/399064/volvo-xc40-.html
VOLKSWAGEN,Tiguan,PLATINIUM AUTO,Casablanca,,,2021,Automatique,Diesel,13-12-2022,8,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/354372/volkswagen-tiguan-4-motion.html
PORSCHE,Macan,ETOILE CAR,Casablanca,1 140 000 Dhs,4 000,2022,Automatique,Essence,13-12-2022,11,5,Suv et 4x4,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408447/porsche-macan-t.html
BMW,X5,AUTO CHAG,Casablanca,420 000 Dhs,95 000,2018,Automatique,Diesel,13-12-2022,8,5,Suv et 4x4,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/366445/bmw-x5-pack-exclusive.html
MERCEDES,Cla,AUTO OMAR,Casablanca,,79 000,2018,Automatique,Diesel,12/12/2022,8,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/397292/mercedes-cla-.html
VOLKSWAGEN,Golf 8,ETOILE CAR,Casablanca,,44 000,2021,Automatique,Diesel,13-12-2022,8,5,Compact,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408441/volkswagen-golf-8-gtd.html
AUTRE,Autre,ETOILE CAR,Casablanca,540 000 Dhs,4 000,2022,Automatique,Diesel,13-12-2022,8,5,Crossover,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/408428/autre-autre-.html
VOLKSWAGEN,Golf 8,CARMA AUTO,Casablanca,,,2021,Automatique,Diesel,13-12-2022,8,5,Coupé,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/358502/volkswagen-golf-8-r-line.html
LAND-ROVER,Range rover sport,BOURGOGNE AUTO,Casablanca,,9 000,2020,Automatique,Hybride,13-12-2022,13,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/400733/land-rover-range-rover-sport-.html
HYUNDAI,Elantra,AUTO OMAR,Casablanca,137 000 Dhs,84 000,2016,Manuelle,Diesel,13-12-2022,6,5,,Oui,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/399200/hyundai-elantra-.html
LAND-ROVER,Range rover velar,AUTO CHAG,Casablanca,,89 000,2018,Automatique,Diesel,13-12-2022,8,5,,,https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/399062/land-rover-range-rover-velar-.html
